scientificName,lon,lat
Trichechus manatus,-82.60351,28.00509
Trichechus manatus,-81.99721,26.51112
Trichechus manatus,-81.507304,25.955142
Trichechus manatus,-80.182497,25.846875
Trichechus manatus,-81.50905,25.948569
Trichechus manatus,-82.414411,27.903587
Trichechus manatus,-82.695936,27.975299
Trichechus manatus,-82.724902,27.746934
Trichechus manatus,-80.94428,25.26744
Trichechus manatus,-80.188527,25.848855
Trichechus manatus,-82.04569,26.529027
Trichechus manatus,-81.346047,25.904445
Trichechus manatus,-81.082894,25.279154
Trichechus manatus,-80.171717,25.767735
Trichechus manatus,-80.61266,28.20008
Trichechus manatus,-80.189512,26.03723
Trichechus manatus,-80.050527,26.756675
Trichechus manatus,-75.201,19.9126
Trichechus manatus,-82.64382,28.53296
Trichechus manatus,-80.116697,26.078375
Trichechus manatus,-81.793797,26.690195
Trichechus manatus,-81.789117,26.686825
Trichechus manatus,-82.078403,26.643731
Trichechus manatus,-75.2001,19.9116
Trichechus manatus,-80.774957,28.493945
Trichechus manatus,-82.411483,27.793364
Trichechus manatus,-80.763187,28.470195
Trichechus manatus,-82.583632,28.520372
Trichechus manatus,-80.064641,26.425675
Trichechus manatus,-80.760667,28.470105
Trichechus manatus,-80.177457,25.871265
Trichechus manatus,-80.77009,28.76898
Trichechus manatus,-80.111813,26.090912
Trichechus manatus,-81.66724,30.02926
Trichechus manatus,-81.792057,26.688455
Trichechus manatus,-82.76372,28.14795
Trichechus manatus,-81.349607,28.955045
Trichechus manatus,-81.08206,25.27916
Trichechus manatus,-80.279744,27.116716
Trichechus manatus,-81.783499,26.687623
Trichechus manatus,-81.709016,25.940179
Trichechus manatus,-82.722969,28.959874
Trichechus manatus,-81.50886,25.94934
Trichechus manatus,-80.759038,28.469217
Trichechus manatus,-81.176437,25.661175
Trichechus manatus,-80.338477,25.355841
Trichechus manatus,-82.401371,27.793302
Trichechus manatus,-80.212046,26.066059
Trichechus manatus,-81.777477,26.691665
Trichechus manatus,-80.274642,27.11781
Trichechus manatus,-81.984647,26.551305
Trichechus manatus,-82.267867,27.050915
Trichechus manatus,-82.03565,26.90122
Trichechus manatus,-80.184807,25.846375
Trichechus manatus,-82.599787,28.884135
Trichechus manatus,-80.141707,25.755015
Trichechus manatus,-81.508367,25.957345
Trichechus manatus,-80.153026,25.796653
Trichechus manatus,-82.708697,28.959245
Trichechus manatus,-83.143539,29.329207
Trichechus manatus,-80.695342,28.368694
Trichechus manatus,-81.717478,30.274806
Trichechus manatus,-81.989296,26.577303
Trichechus manatus,-81.368397,25.822135
Trichechus manatus,-80.288712,25.636013
Trichechus manatus,-80.108103,26.094808
Trichechus manatus,-80.755857,28.476615
Trichechus manatus,-80.934443,29.078182
Trichechus manatus,-82.605817,27.529525
Trichechus manatus,-82.603327,28.893985
Trichechus manatus,-80.116697,26.078075
Trichechus manatus,-82.592797,28.889655
Trichechus manatus,-80.086997,26.980935
Trichechus manatus,-80.08298,26.263251
Trichechus manatus,-80.080651,26.313549
Trichechus manatus,-82.158127,26.692786
Trichechus manatus,-82.736921,27.531962
Trichechus manatus,-82.7205,27.52778
Trichechus manatus,-81.341363,28.943341
Trichechus manatus,-82.58893,28.888273
Trichechus manatus,-82.054947,26.643445
Trichechus manatus,-80.049977,26.765065
Trichechus manatus,-81.823017,26.337805
Trichechus manatus,-82.683515,27.725961
Trichechus manatus,-80.634704,28.12382
Trichechus manatus,-82.597667,28.799405
Trichechus manatus,-80.928027,25.191836
Trichechus manatus,-81.397206,25.826705
Trichechus manatus,-80.268295,25.7081
Trichechus manatus,-80.122262,25.983824
Trichechus manatus,-81.925026,26.542828
Trichechus manatus,-80.769773,28.491949
Trichechus manatus,-80.19476,26.085765
Trichechus manatus,-80.043326,26.767268
Trichechus manatus,-80.120026,26.228621
Trichechus manatus,-81.477063,25.903825
Trichechus manatus,-80.080387,26.915435
Trichechus manatus,-81.45796,30.684861
Trichechus manatus,-82.698138,28.037021
Trichechus manatus,-82.592917,28.800195
Trichechus manatus,-82.047987,26.640085
Trichechus manatus,-74.80473,11.04043
Trichechus manatus,-80.14101,27.106417
Trichechus manatus,-82.240847,26.987915
Trichechus manatus,-81.99202,26.517616
Trichechus manatus,-82.106905,26.677421
Trichechus manatus,-82.486387,27.443055
Trichechus manatus,-80.506634,27.811134
Trichechus manatus,-81.71308,25.97403
Trichechus manatus,-80.526087,27.833585
Trichechus manatus,-81.339387,28.946145
Trichechus manatus,-80.188542,25.848607
Trichechus manatus,-80.556177,24.97639
Trichechus manatus,-81.448982,30.707181
Trichechus manatus,-80.107718,26.094707
Trichechus manatus,-84.199806,30.157474
Trichechus manatus,-82.40296,27.79319
Trichechus manatus,-82.05657,26.64841
Trichechus manatus,-80.75842,28.4689
Trichechus manatus,-80.46262,25.06851
Trichechus manatus,-80.282577,25.668294
Trichechus manatus,-82.277197,27.033615
Trichechus manatus,-84.27422,30.08468
Trichechus manatus,-80.763669,28.467845
Trichechus manatus,-80.186485,26.038348
Trichechus manatus,-81.793157,26.688525
Trichechus manatus,-81.797579,26.695517
Trichechus manatus,-80.167501,25.736078
Trichechus manatus,-82.59875,28.89333
Trichechus manatus,-81.510147,25.956985
Trichechus manatus,-80.68466,28.36884
Trichechus manatus,-80.50157,25.03781
Trichechus manatus,-82.403847,27.793075
Trichechus manatus,-81.514804,25.902321
Trichechus manatus,-81.866209,26.392616
Trichechus manatus,-82.613207,27.572095
Trichechus manatus,-80.923905,25.331866
Trichechus manatus,-82.600869,28.892773
Trichechus manatus,-80.694977,28.399189
Trichechus manatus,-80.117008,26.077572
Trichechus manatus,-80.396441,27.725307
Trichechus manatus,-80.051527,26.777355
Trichechus manatus,-80.199021,26.069299
Trichechus manatus,-82.589073,28.88834
Trichechus manatus,-82.430637,27.863154
Trichechus manatus,-80.441999,25.1225
Trichechus manatus,-80.63587,28.31077
Trichechus manatus,-74.76116,10.96369
Trichechus manatus,-81.47571,25.89559
Trichechus manatus,-82.435977,27.900695
Trichechus manatus,-80.181707,27.181435
Trichechus manatus,-81.337995,25.781797
Trichechus manatus,-75.156614,19.91481
Trichechus manatus,-81.340756,28.943649
Trichechus manatus,-80.066803,26.872294
Trichechus manatus,-81.954524,26.460594
Trichechus manatus,-80.035228,26.79575
Trichechus manatus,-81.719137,25.956305
Trichechus manatus,-80.26669,25.729667
Trichechus manatus,-81.697571,25.9139
Trichechus manatus,-80.042398,26.785553
Trichechus manatus,-80.125326,26.084236
Trichechus manatus,-82.638157,28.522185
Trichechus manatus,-82.543957,27.868855
Trichechus manatus,-80.105517,26.948015
Trichechus manatus,-80.840931,28.892644
Trichechus manatus,-81.785561,26.688065
Trichechus manatus,-80.609791,28.176415
Trichechus manatus,-80.506439,27.810389
Trichechus manatus,-80.04818,26.74476
Trichechus manatus,-81.092339,29.315699
Trichechus manatus,-82.165091,26.695627
Trichechus manatus,-82.4191,27.024633
Trichechus manatus,-81.507817,25.953735
Trichechus manatus,-80.115967,26.077635
Trichechus manatus,-80.184267,25.797915
Trichechus manatus,-82.530165,27.68901
Trichechus manatus,-81.099119,24.708323
Trichechus manatus,-80.60374,28.20085
Trichechus manatus,-80.491977,27.854035
Trichechus manatus,-80.73216,28.36919
Trichechus manatus,-82.05224,26.43027
Trichechus manatus,-82.713005,28.959479
Trichechus manatus,-80.050264,26.764723
Trichechus manatus,-80.75627,28.48595
Trichechus manatus,-80.08117,26.313894
Trichechus manatus,-80.774597,28.495115
Trichechus manatus,-82.618209,28.917164
Trichechus manatus,-80.067347,26.806935
Trichechus manatus,-81.778453,26.693414
Trichechus manatus,-80.185208,26.077122
Trichechus manatus,-81.46556,25.87451
Trichechus manatus,-80.63802,28.12581
Trichechus manatus,-80.38033,27.63061
Trichechus manatus,-82.759527,28.146465
Trichechus manatus,-81.734528,25.973711
Trichechus manatus,-80.105865,26.153143
Trichechus manatus,-80.549571,27.980037
Trichechus manatus,-81.939429,26.563779
Trichechus manatus,-80.618111,28.355838
Trichechus manatus,-81.789947,26.686758
Trichechus manatus,-81.88124,26.43761
Trichechus manatus,-81.789127,26.686705
Trichechus manatus,-80.117683,26.078298
Trichechus manatus,-80.517855,27.840197
Trichechus manatus,-81.662073,30.285688
Trichechus manatus,-80.58187,28.04259
Trichechus manatus,-81.732272,29.350315
Trichechus manatus,-80.047437,26.776375
Trichechus manatus,-82.632437,27.377665
Trichechus manatus,-80.077977,26.956515
Trichechus manatus,-81.737715,26.719246
Trichechus manatus,-81.507357,25.957395
Trichechus manatus,-82.410257,27.793065
Trichechus manatus,-82.596147,28.887755
Trichechus manatus,-80.09337,26.23231
Trichechus manatus,-80.108587,26.964135
Trichechus manatus,-80.666987,28.389415
Trichechus manatus,-81.11528,29.446854
Trichechus manatus,-81.115263,29.442599
Trichechus manatus,-81.324849,25.900552
Trichechus manatus,-74.76108,10.962
Trichechus manatus,-81.089187,24.708336
Trichechus manatus,-80.604578,28.157417
Trichechus manatus,-82.062457,26.761625
Trichechus manatus,-82.627142,27.506268
Trichechus manatus,-82.592917,28.800275
Trichechus manatus,-80.733112,28.478054
Trichechus manatus,-80.28321,25.738212
Trichechus manatus,-81.830115,26.674064
Trichechus manatus,-80.272057,25.728065
Trichechus manatus,-82.092827,26.657585
Trichechus manatus,-81.545907,25.894575
Trichechus manatus,-80.326877,25.292355
Trichechus manatus,-80.055833,26.850123
Trichechus manatus,-82.41662,27.904063
